"Screen reader users: There is 1 table on this tab called Table 33: Dialysis duration in days prior to first kidney transplant, pediatric recipients, Canada (excluding Quebec), 2012 to 2021. It begins at cell A4 and ends at cell K8. The notes begin in cell A9 and the source begins in cell A14. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 33  Dialysis duration in days prior to first kidney transplant, pediatric recipients, Canada (excluding Quebec), 2012 to 2021",,,,,,,,,,,,,,
Duration on dialysis,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,
"Duration on dialysis (median days), deceased donor",0*,0*,0*,532,303,0*,0*,320,379,52,,,,
"Duration on dialysis (median days), deceased donor, excluding pre-emptive",337,513,565,770,563,536,535,790,527,435,,,,
"Duration on dialysis (median days), 
living donor",0*,99,0*,0*,27,164,0*,0*,0*,0*,,,,
"Duration on dialysis (median days), 
living donor, excluding pre-emptive",396,551,555,351,425,439,367,667,227,432,,,,
Notes,,,,,,,,,,,,,,
* More than half of the transplants were pre-emptive.,,,,,,,,,,,,,,
"In the calculation of median days on dialysis, pre-emptive kidney transplant recipients were given a value of 0 for their wait time.",,,,,,,,,,,,,,
A patient who receives a pre-emptive transplant has not been treated with dialysis prior to the transplant.,,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information. ",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
